project_id,repetition,status,returncode,timed_out,target_function_count,warnings,errors,lint_alerts,lint_alerts_per_function,diagnostic_codes_json
crust__bhshell,1,measured,0,False,243,2,0,2,0.00823045267489712,"{""clippy::io_other_error"": 1, ""clippy::manual_c_str_literals"": 1}"
crust__bhshell,2,measured,0,False,214,4,0,4,0.018691588785046728,"{""clippy::manual_c_str_literals"": 1, ""dead_code"": 3}"
crust__bitset,0,measured,0,False,55,5,0,5,0.09090909090909091,"{""clippy::inherent_to_string"": 1, ""clippy::manual_is_multiple_of"": 1, ""unused_imports"": 3}"
crust__bitset,1,measured,0,False,68,5,0,5,0.07352941176470588,"{""clippy::inherent_to_string"": 1, ""clippy::manual_is_multiple_of"": 1, ""unused_imports"": 3}"
crust__bitset,2,measured,0,False,68,5,0,5,0.07352941176470588,"{""clippy::inherent_to_string"": 1, ""clippy::manual_is_multiple_of"": 1, ""unused_imports"": 3}"
crust__bostree,0,measured,0,False,91,21,0,21,0.23076923076923078,"{""clippy::almost_complete_range"": 2, ""clippy::only_used_in_recursion"": 1, ""clippy::unnecessary_map_or"": 2, ""dead_code"": 5, ""non_snake_case"": 1, ""unused_imports"": 10}"
crust__bostree,1,measured,0,False,77,23,0,23,0.2987012987012987,"{""clippy::almost_complete_range"": 2, ""clippy::redundant_closure"": 2, ""clippy::unnecessary_map_or"": 2, ""dead_code"": 6, ""non_snake_case"": 1, ""unused_imports"": 10}"
crust__bostree,2,measured,0,False,87,22,0,22,0.25287356321839083,"{""clippy::almost_complete_range"": 2, ""clippy::redundant_closure"": 2, ""clippy::unnecessary_map_or"": 2, ""dead_code"": 5, ""non_snake_case"": 1, ""unused_imports"": 10}"
crust__btree-map,0,measured,0,False,70,4,0,4,0.05714285714285714,"{""clippy::ptr_arg"": 3, ""unused_imports"": 1}"
crust__btree-map,1,measured,0,False,54,2,0,2,0.037037037037037035,"{""clippy::ptr_arg"": 1, ""unused_imports"": 1}"
crust__btree-map,2,measured,0,False,63,2,0,2,0.031746031746031744,"{""clippy::ptr_arg"": 1, ""unused_imports"": 1}"
crust__c-aces,0,measured,0,False,188,11,0,11,0.05851063829787234,"{""dead_code"": 1, ""non_snake_case"": 1, ""unused_imports"": 9}"
crust__c-aces,1,measured,0,False,176,11,0,11,0.0625,"{""dead_code"": 1, ""non_snake_case"": 1, ""unused_imports"": 9}"
crust__c-aces,2,measured,0,False,175,11,0,11,0.06285714285714286,"{""dead_code"": 1, ""non_snake_case"": 1, ""unused_imports"": 9}"
crust__c-string,0,measured,0,False,59,2,0,2,0.03389830508474576,"{""dead_code"": 1, ""unused_imports"": 1}"
crust__c-string,1,measured,0,False,48,2,0,2,0.041666666666666664,"{""dead_code"": 1, ""unused_imports"": 1}"
crust__c-string,2,measured,0,False,55,2,0,2,0.03636363636363636,"{""dead_code"": 1, ""unused_imports"": 1}"
crust__carrays,0,measured,0,False,60,3,0,3,0.05,"{""unused_imports"": 3}"
crust__carrays,1,measured,0,False,69,4,0,4,0.057971014492753624,"{""dead_code"": 1, ""unused_imports"": 3}"
crust__carrays,2,measured,0,False,73,4,0,4,0.0547945205479452,"{""dead_code"": 1, ""unused_imports"": 3}"
crust__cfsm,0,measured,0,False,47,77,0,77,1.6382978723404256,"{""clippy::assign_op_pattern"": 2, ""clippy::new_without_default"": 1, ""clippy::redundant_allocation"": 9, ""clippy::type_complexity"": 4, ""dead_code"": 16, ""non_upper_case_globals"": 2, ""static_mut_refs"": 24, ""unpredictable_function_pointer_comparisons"": 9, ""unused_variables"": 10}"
crust__cfsm,1,measured,0,False,57,76,0,76,1.3333333333333333,"{""clippy::assign_op_pattern"": 2, ""clippy::new_without_default"": 1, ""clippy::redundant_allocation"": 9, ""clippy::type_complexity"": 4, ""dead_code"": 16, ""non_upper_case_globals"": 2, ""static_mut_refs"": 24, ""unpredictable_function_pointer_comparisons"": 9, ""unused_variables"": 9}"
crust__cfsm,2,measured,0,False,46,77,0,77,1.673913043478261,"{""clippy::assign_op_pattern"": 2, ""clippy::new_without_default"": 1, ""clippy::redundant_allocation"": 9, ""clippy::type_complexity"": 4, ""dead_code"": 16, ""non_upper_case_globals"": 2, ""static_mut_refs"": 24, ""unpredictable_function_pointer_comparisons"": 9, ""unused_variables"": 10}"
crust__chtrie,0,measured,0,False,33,9,0,9,0.2727272727272727,"{""dead_code"": 9}"
crust__chtrie,1,measured,0,False,32,9,0,9,0.28125,"{""dead_code"": 9}"
crust__chtrie,2,measured,0,False,30,9,0,9,0.3,"{""dead_code"": 9}"
crust__circularbuffer,0,measured,0,False,33,3,0,3,0.09090909090909091,"{""clippy::if_same_then_else"": 1, ""non_snake_case"": 1, ""unused_imports"": 1}"
crust__circularbuffer,1,measured,0,False,46,2,0,2,0.043478260869565216,"{""non_snake_case"": 1, ""unused_imports"": 1}"
crust__circularbuffer,2,measured,0,False,38,3,0,3,0.07894736842105263,"{""clippy::if_same_then_else"": 1, ""non_snake_case"": 1, ""unused_imports"": 1}"
crust__cissy,0,measured,0,False,161,4,0,4,0.024844720496894408,"{""clippy::module_inception"": 1, ""clippy::new_without_default"": 3}"
crust__cissy,1,measured,0,False,83,62,0,62,0.7469879518072289,"{""clippy::module_inception"": 1, ""clippy::new_without_default"": 3, ""dead_code"": 45, ""unused_imports"": 8, ""unused_variables"": 5}"
crust__cissy,2,measured,0,False,81,44,0,44,0.5432098765432098,"{""clippy::module_inception"": 1, ""clippy::new_without_default"": 3, ""dead_code"": 32, ""unused_imports"": 8}"
crust__clog,0,incomplete_compile_error,101,False,93,58,4,62,0.6666666666666666,"{""clippy::absurd_extreme_comparisons"": 4, ""clippy::ineffective_open_options"": 1, ""clippy::io_other_error"": 1, ""clippy::result_unit_err"": 3, ""clippy::single_component_path_imports"": 1, ""clippy::too_many_arguments"": 1, ""dead_code"": 14, ""redundant_semicolons"": 1, ""unused_imports"": 6, ""unused_must_use"": 28, ""unused_mut"": 2}"
crust__clog,1,incomplete_compile_error,101,False,119,54,4,58,0.48739495798319327,"{""clippy::absurd_extreme_comparisons"": 4, ""clippy::result_unit_err"": 3, ""clippy::single_component_path_imports"": 1, ""dead_code"": 14, ""unused_imports"": 6, ""unused_must_use"": 28, ""unused_mut"": 2}"
crust__clog,2,incomplete_compile_error,101,False,87,61,4,65,0.7471264367816092,"{""clippy::absurd_extreme_comparisons"": 4, ""clippy::ineffective_open_options"": 1, ""clippy::io_other_error"": 1, ""clippy::manual_pattern_char_comparison"": 1, ""clippy::result_unit_err"": 3, ""clippy::single_component_path_imports"": 1, ""dead_code"": 17, ""redundant_semicolons"": 1, ""unused_imports"": 6, ""unused_must_use"": 28, ""unused_mut"": 2}"
crust__cset,0,incomplete_compile_error,101,False,107,1,4,5,0.04672897196261682,"{""clippy::mut_from_ref"": 2, ""clippy::new_without_default"": 1, ""clippy::not_unsafe_ptr_arg_deref"": 2}"
crust__cset,1,incomplete_compile_error,101,False,123,1,2,3,0.024390243902439025,"{""clippy::mut_from_ref"": 2, ""clippy::new_without_default"": 1}"
crust__cset,2,incomplete_compile_error,101,False,117,1,2,3,0.02564102564102564,"{""clippy::new_without_default"": 1, ""clippy::not_unsafe_ptr_arg_deref"": 2}"
crust__csyncmers,0,measured,0,False,24,3,0,3,0.125,"{""dead_code"": 1, ""unused_imports"": 2}"
crust__csyncmers,1,measured,0,False,38,3,0,3,0.07894736842105263,"{""dead_code"": 1, ""unused_imports"": 2}"
crust__csyncmers,2,measured,0,False,26,3,0,3,0.11538461538461539,"{""dead_code"": 1, ""unused_imports"": 2}"
crust__dict,0,measured,0,False,103,25,0,25,0.24271844660194175,"{""clippy::needless_borrow"": 1, ""clippy::needless_lifetimes"": 1, ""dead_code"": 7, ""unused_imports"": 16}"
crust__dict,1,measured,0,False,99,25,0,25,0.25252525252525254,"{""clippy::needless_borrow"": 1, ""clippy::needless_lifetimes"": 1, ""dead_code"": 7, ""unused_imports"": 16}"
crust__dict,2,measured,0,False,99,27,0,27,0.2727272727272727,"{""clippy::doc_lazy_continuation"": 2, ""clippy::needless_borrow"": 1, ""clippy::needless_lifetimes"": 1, ""dead_code"": 7, ""unused_imports"": 16}"
crust__emlang,0,measured,0,False,109,21,0,21,0.1926605504587156,"{""clippy::new_without_default"": 1, ""dead_code"": 18, ""unused_imports"": 1, ""unused_macros"": 1}"
crust__emlang,1,measured,0,False,130,5,0,5,0.038461538461538464,"{""clippy::manual_is_multiple_of"": 1, ""clippy::new_without_default"": 1, ""dead_code"": 2, ""unused_macros"": 1}"
crust__emlang,2,measured,0,False,117,48,0,48,0.41025641025641024,"{""clippy::new_without_default"": 1, ""dead_code"": 12, ""unused_imports"": 1, ""unused_macros"": 1, ""unused_variables"": 33}"
crust__expr,0,measured,0,False,93,7,0,7,0.07526881720430108,"{""clippy::needless_lifetimes"": 1, ""clippy::new_without_default"": 1, ""dead_code"": 3, ""unused_imports"": 1, ""unused_macros"": 1}"
crust__expr,1,measured,0,False,105,3,0,3,0.02857142857142857,"{""clippy::needless_lifetimes"": 1, ""clippy::new_without_default"": 1, ""unused_imports"": 1}"
crust__expr,2,measured,0,False,119,3,0,3,0.025210084033613446,"{""clippy::needless_lifetimes"": 1, ""clippy::new_without_default"": 1, ""unused_imports"": 1}"
crust__fasthamming,0,measured,0,False,33,4,0,4,0.12121212121212122,"{""clippy::manual_is_multiple_of"": 1, ""non_snake_case"": 1, ""unused_imports"": 2}"
crust__fasthamming,1,measured,0,False,28,4,0,4,0.14285714285714285,"{""clippy::manual_is_multiple_of"": 1, ""non_snake_case"": 1, ""unused_imports"": 2}"
crust__fasthamming,2,measured,0,False,26,3,0,3,0.11538461538461539,"{""non_snake_case"": 1, ""unused_imports"": 2}"
crust__file2str,0,measured,0,False,44,1,0,1,0.022727272727272728,"{""unused_imports"": 1}"
crust__file2str,1,measured,0,False,22,1,0,1,0.045454545454545456,"{""unused_imports"": 1}"
crust__file2str,2,measured,0,False,46,5,0,5,0.10869565217391304,"{""clippy::write_with_newline"": 4, ""unused_imports"": 1}"
crust__fs_c,0,measured,0,False,90,4,0,4,0.044444444444444446,"{""dead_code"": 3, ""unused_imports"": 1}"
